EduCat,USRCat,AgeCat,IncCat,MarCat,RaceCat,GenderCat,1,2,3,4,5,6,n
2,1,5,2,1,4,2,0,1,0,0,0,0,1
2,1,5,2,2,2,1,0,1,0,0,1,0,2
2,1,5,2,2,2,2,0,3,2,0,0,0,5
2,1,5,2,3,2,1,0,0,1,0,0,0,1
2,1,5,2,3,2,2,1,0,2,1,0,0,4
2,1,5,2,4,2,1,0,1,0,0,0,0,1
2,1,5,2,4,2,2,0,0,1,0,0,0,1
2,1,5,2,5,2,2,0,0,0,1,0,0,1
2,1,5,3,1,1,2,0,0,1,0,0,0,1
2,1,5,3,1,2,1,0,0,3,2,0,0,5
2,1,5,3,1,2,2,0,1,3,0,0,0,4
2,1,5,3,1,3,1,1,1,0,0,0,0,2
2,1,5,3,1,4,2,0,0,0,0,1,0,1
2,1,5,3,2,2,2,0,0,0,1,0,0,1
2,1,5,3,3,2,2,0,1,0,0,0,0,1
2,1,5,4,1,2,1,0,1,0,0,0,0,1
2,1,5,5,1,2,1,0,0,1,2,0,0,3
2,1,5,5,1,2,2,0,0,0,0,1,0,1
2,1,5,6,1,2,1,0,0,0,1,1,0,2
2,1,5,6,1,2,2,0,2,3,1,0,0,6
2,1,5,6,1,4,1,0,0,0,1,0,0,1
2,1,5,6,1,4,2,0,1,0,0,0,0,1
2,1,5,6,2,2,1,0,0,1,0,0,0,1
2,1,5,6,2,2,2,0,0,1,0,0,0,1
2,2,1,1,5,2,2,0,0,0,0,0,1,1
2,2,1,2,1,1,2,0,0,0,0,0,1,1
2,2,1,2,1,2,1,0,0,0,0,1,0,1
2,2,1,2,5,1,1,0,1,0,0,0,0,1
2,2,1,2,5,2,2,0,0,1,0,0,0,1
2,2,1,2,5,3,1,1,0,0,0,0,0,1
2,2,1,3,5,2,1,0,0,0,1,0,0,1
2,2,1,3,5,4,1,0,0,0,1,0,0,1
2,2,1,5,1,2,2,0,0,1,0,0,0,1
2,2,1,5,5,1,2,1,0,0,0,0,0,1
2,2,1,6,5,2,1,1,0,0,0,0,0,1
2,2,1,6,5,2,2,0,0,0,0,1,0,1
2,2,2,1,1,2,1,0,0,0,0,0,1,1
2,2,2,1,1,2,2,1,0,0,0,0,0,1
2,2,2,1,2,2,2,0,0,0,0,1,0,1
2,2,2,1,3,2,2,0,0,1,1,0,0,2
2,2,2,1,5,1,1,0,1,0,0,0,0,1
2,2,2,1,5,2,1,0,1,1,0,0,0,2
2,2,2,1,5,2,2,0,0,2,1,0,0,3
2,2,2,1,5,3,1,0,1,1,0,1,0,3
2,2,2,1,5,3,2,0,0,0,0,0,1,1
2,2,2,2,1,2,1,1,2,0,1,3,0,7
2,2,2,2,1,2,2,2,3,4,0,0,2,11
2,2,2,2,1,3,1,0,0,1,0,0,0,1
2,2,2,2,1,4,2,0,0,1,0,0,0,1
2,2,2,2,3,1,2,0,0,0,0,0,1,1
2,2,2,2,3,2,1,0,0,0,0,1,0,1
2,2,2,2,3,2,2,0,1,0,1,0,0,2
2,2,2,2,5,2,1,0,0,1,0,0,0,1
2,2,2,2,5,2,2,1,0,0,0,0,0,1
2,2,2,2,5,3,2,0,0,0,0,1,0,1
2,2,2,2,5,4,1,0,0,1,1,0,0,2
2,2,2,2,5,4,2,0,0,0,0,0,1,1
2,2,2,3,1,1,2,1,0,0,0,0,0,1
2,2,2,3,1,2,1,0,0,1,1,0,0,2
2,2,2,3,1,2,2,1,2,3,2,2,2,12
2,2,2,3,1,3,2,0,0,1,0,0,0,1
2,2,2,3,1,4,2,0,1,0,0,0,0,1
2,2,2,3,3,2,1,0,0,0,0,1,0,1
2,2,2,3,3,2,2,0,0,1,0,0,0,1
2,2,2,3,5,1,2,0,0,1,0,0,0,1
2,2,2,3,5,2,1,0,1,0,0,0,0,1
2,2,2,3,5,3,1,0,0,1,0,0,0,1
2,2,2,4,1,2,2,0,0,1,0,1,0,2
2,2,2,4,5,1,1,0,0,0,0,1,0,1
2,2,2,5,1,2,1,0,1,0,0,0,0,1
2,2,2,5,1,4,2,1,0,0,0,0,0,1
2,2,2,6,1,2,1,0,0,0,1,0,0,1
2,2,2,6,2,2,2,0,0,1,0,0,0,1
2,2,2,6,5,1,2,0,0,1,0,0,0,1
2,2,2,6,5,2,1,1,0,0,0,1,0,2
2,2,2,6,5,2,2,0,0,2,0,1,0,3
2,2,2,6,5,3,2,0,0,1,0,0,0,1
2,2,2,6,5,4,1,0,0,0,1,0,0,1
2,2,3,1,1,1,2,0,0,1,0,0,0,1
2,2,3,1,1,2,1,0,0,0,1,0,1,2
2,2,3,1,1,2,2,0,1,0,1,0,0,2
2,2,3,1,1,3,2,0,0,0,0,1,0,1
2,2,3,1,1,4,1,0,0,0,1,0,0,1
2,2,3,1,2,2,2,0,0,1,0,0,0,1
2,2,3,1,2,3,2,1,0,0,0,0,1,2
2,2,3,1,3,1,1,0,0,1,0,0,0,1
2,2,3,1,3,2,1,0,0,0,1,1,1,3
2,2,3,1,3,3,2,0,0,0,1,0,0,1
2,2,3,1,4,2,2,1,0,0,0,0,0,1
2,2,3,1,4,3,1,1,0,0,0,0,0,1
2,2,3,1,5,2,1,1,1,0,0,3,0,5
2,2,3,1,5,2,2,0,1,1,1,0,2,5
2,2,3,1,5,3,1,1,1,1,0,0,0,3
2,2,3,1,5,3,2,0,1,1,0,0,1,3
2,2,3,2,1,2,1,0,3,3,2,1,0,9
2,2,3,2,1,2,2,1,3,7,7,1,2,21
2,2,3,2,1,3,2,0,0,1,0,0,1,2
2,2,3,2,1,4,2,0,0,0,0,1,0,1
2,2,3,2,2,2,2,0,1,1,0,0,0,2
2,2,3,2,3,2,1,0,0,0,2,0,2,4
2,2,3,2,3,2,2,0,1,2,3,2,0,8
2,2,3,2,4,2,2,0,1,1,0,0,0,2
2,2,3,2,5,1,1,0,0,0,0,1,0,1
2,2,3,2,5,1,2,0,0,0,0,0,1,1
2,2,3,2,5,2,1,1,1,3,1,3,0,9
2,2,3,2,5,2,2,2,1,2,2,1,0,8
2,2,3,2,5,3,1,0,0,1,0,1,0,2
2,2,3,2,5,3,2,0,1,0,0,0,0,1
2,2,3,2,5,4,1,1,0,1,0,0,0,2
2,2,3,2,5,4,2,0,1,0,0,0,0,1
2,2,3,3,1,1,1,0,0,0,2,0,0,2
2,2,3,3,1,1,2,0,0,0,0,0,1,1
2,2,3,3,1,2,1,1,0,3,3,4,1,12
2,2,3,3,1,2,2,1,2,7,8,1,1,20
2,2,3,3,1,3,2,0,0,1,0,0,0,1
2,2,3,3,1,4,1,0,0,2,0,0,0,2
2,2,3,3,1,4,2,0,0,1,0,0,0,1
2,2,3,3,1,5,1,0,0,1,0,0,0,1
2,2,3,3,3,2,1,0,0,1,0,0,0,1
2,2,3,3,3,2,2,0,0,2,0,0,0,2
2,2,3,3,3,3,2,0,1,0,0,0,0,1
2,2,3,3,3,4,1,0,0,1,0,0,0,1
2,2,3,3,5,2,1,0,0,1,1,1,0,3
2,2,3,3,5,2,2,0,1,1,0,0,0,2
2,2,3,4,1,2,1,0,0,5,4,0,0,9
2,2,3,4,1,2,2,0,0,2,1,0,0,3
2,2,3,4,1,3,1,0,0,1,0,0,0,1
